C:\Users\Антон\Desktop\WN\world_news_dict\files\waves\cut\\f1c17.wav;117806;журналистика я<00:00:21.000><c> как</c><00:00:21.150><c> журналист</c><00:00:22.160><c> когда</c><00:00:23.160><c> я</c><00:00:23.220><c> прихожу</c><00:00:23.490><c> дом</c>
C:\Users\Антон\Desktop\WN\world_news_dict\files\waves\cut\\f1c18.wav;398;я как журналист когда я прихожу дом
C:\Users\Антон\Desktop\WN\world_news_dict\files\waves\cut\\f1c19.wav;107310;я как журналист когда я прихожу дом журналиста<00:00:24.680><c> я</c><00:00:25.680><c> в</c><00:00:25.830><c> основном</c><00:00:25.949><c> себя</c><00:00:26.340><c> веду</c><00:00:26.849><c> как</c>
C:\Users\Антон\Desktop\WN\world_news_dict\files\waves\cut\\f1c20.wav;398;журналиста я в основном себя веду как
C:\Users\Антон\Desktop\WN\world_news_dict\files\waves\cut\\f1c21.wav;65998;журналиста я в основном себя веду как журналист<00:00:27.539><c> и</c><00:00:27.750><c> когда</c><00:00:28.349><c> вокруг</c><00:00:28.500><c> меня</c><00:00:28.650><c> тоже</c>
C:\Users\Антон\Desktop\WN\world_news_dict\files\waves\cut\\f1c22.wav;398;журналист и когда вокруг меня тоже
C:\Users\Антон\Desktop\WN\world_news_dict\files\waves\cut\\f1c23.wav;72718;журналист и когда вокруг меня тоже журналисты<00:00:29.849><c> я</c><00:00:30.390><c> чувствую</c><00:00:30.960><c> общую</c>
C:\Users\Антон\Desktop\WN\world_news_dict\files\waves\cut\\f1c24.wav;398;журналисты я чувствую общую
C:\Users\Антон\Desktop\WN\world_news_dict\files\waves\cut\\f1c25.wav;73358;журналисты я чувствую общую журналистскую<00:00:32.040><c> этику</c><00:00:32.189><c> и</c><00:00:32.669><c> ответственность</c><00:00:33.090><c> и</c>
C:\Users\Антон\Desktop\WN\world_news_dict\files\waves\cut\\f1c26.wav;398;журналистскую этику и ответственность и
C:\Users\Антон\Desktop\WN\world_news_dict\files\waves\cut\\f1c27.wav;73998;журналистскую этику и ответственность и если<00:00:34.710><c> мы</c><00:00:34.800><c> все</c><00:00:35.010><c> журналисты</c><00:00:35.579><c> ведь</c><00:00:35.880><c> тот</c>
C:\Users\Антон\Desktop\WN\world_news_dict\files\waves\cut\\f1c28.wav;398;если мы все журналисты ведь тот
C:\Users\Антон\Desktop\WN\world_news_dict\files\waves\cut\\f1c29.wav;33998;если мы все журналисты ведь тот журналисту
C:\Users\Антон\Desktop\WN\world_news_dict\files\waves\cut\\f1c30.wav;398;журналисту
C:\Users\Антон\Desktop\WN\world_news_dict\files\waves\cut\\f1c31.wav;113998;журналисту но<00:00:38.100><c> не</c><00:00:38.280><c> журналистика</c><00:00:39.540><c> является</c><00:00:40.170><c> предметом</c>
C:\Users\Антон\Desktop\WN\world_news_dict\files\waves\cut\\f1c32.wav;398;но не журналистика является предметом
C:\Users\Антон\Desktop\WN\world_news_dict\files\waves\cut\\f1c33.wav;166158;но не журналистика является предметом нашей<00:00:41.670><c> любви</c><00:00:42.260><c> к</c><00:00:43.260><c> профессии</c><00:00:43.710><c> журналист</c><00:00:44.870><c> журнал</c>
C:\Users\Антон\Desktop\WN\world_news_dict\files\waves\cut\\f1c34.wav;398;нашей любви к профессии журналист журнал
C:\Users\Антон\Desktop\WN\world_news_dict\files\waves\cut\\f1c35.wav;105358;нашей любви к профессии журналист журнал вот<00:00:46.649><c> что</c><00:00:46.800><c> интеллект</c><00:00:47.160><c> или</c><00:00:47.370><c> почитать</c><00:00:48.020><c> виду</c><00:00:49.020><c> или</c>
C:\Users\Антон\Desktop\WN\world_news_dict\files\waves\cut\\f1c36.wav;398;вот что интеллект или почитать виду или
C:\Users\Антон\Desktop\WN\world_news_dict\files\waves\cut\\f1c37.wav;19918;вот что интеллект или почитать виду или горные<00:00:49.469><c> лыжи</c>
C:\Users\Антон\Desktop\WN\world_news_dict\files\waves\cut\\f1c38.wav;398;горные лыжи
C:\Users\Антон\Desktop\WN\world_news_dict\files\waves\cut\\f1c39.wav;96686;горные лыжи но<00:00:50.670><c> your</c><00:00:50.910><c> этой</c><00:00:51.180><c> группы</c><00:00:51.449><c> вопрос</c><00:00:51.899><c> я</c><00:00:52.050><c> не</c><00:00:52.170><c> буду</c><00:00:52.680><c> не</c>
